Damsel Fish ID,d15N,N.percentage,d13C,C.percentage,Analysis Date,,"Note: Not enough material to run samples: 0041, 0047,0048, 0181, 0183,0186"
001,10.7,11.90%,-20.2,41.30%,4/2/26,,
002,11.2,12.10%,-20.3,42.20%,4/2/26,,
003,11,12.30%,-20.6,42.00%,4/2/26,,
004,10.8,12.00%,-20.3,42.80%,4/2/26,,
005,11,11.20%,-19.9,38.50%,4/2/26,,
006,11.2,12.50%,-20.4,42.30%,4/2/26,,
007,10.8,11.20%,-20.8,42.00%,4/2/26,,
008,11.2,11.00%,-21.1,41.20%,4/2/26,,
009,10.9,10.00%,-22,46.10%,4/2/26,,
0010,10.5,12.10%,-20.7,41.20%,4/2/26,,
0011,10.7,12.40%,-20.6,42.30%,4/2/26,,
0012,10.7,12.80%,-19.9,41.00%,4/2/26,,
0013,10.9,12.80%,-20.2,43.40%,4/2/26,,
0018,10.4,12.10%,-21,41.00%,4/2/26,,
0019,10.5,12.20%,-21,41.10%,4/2/26,,
0020,10.8,11.30%,-20.9,39.50%,4/2/26,,
0021,10.5,12.40%,-21,41.10%,4/2/26,,
0022,10.4,11.40%,-20.6,39.70%,4/2/26,,
0023,10.6,11.90%,-21.2,42.40%,4/2/26,,
0024,10.5,12.50%,-20.4,41.70%,4/2/26,,
0025,10.6,12.00%,-21,41.60%,4/2/26,,
0027,10.4,12.20%,-20.7,41.90%,4/2/26,,
0028,10.5,12.80%,-20.7,41.80%,4/2/26,,
0029,10.2,12.70%,-20.6,42.00%,4/2/26,,
0030,10.7,12.70%,-20.6,42.50%,4/2/26,,
0031,10.4,12.40%,-21.3,43.10%,4/2/26,,
0032,10.6,12.40%,-21,41.60%,4/2/26,,
0033,10.7,12.50%,-20.8,41.80%,4/2/26,,
0034,10.5,12.20%,-21.1,42.10%,4/2/26,,
0035,10.5,11.80%,-21,40.10%,4/2/26,,
0036,10.8,13.10%,-20.2,41.70%,4/2/26,,
0037,9.8,10.70%,-22,41.30%,4/2/26,,
0038,10.9,12.90%,-20.5,42.70%,4/2/26,,
0039,7.5,12.50%,-19.8,41.20%,4/2/26,,
0041,8.7,13.30%,-20,42.80%,4/2/26,,
0042,7.5,13.30%,-19.6,41.30%,4/2/26,,
0043,7.7,11.90%,-19.9,39.70%,4/2/26,,
0044,7.9,12.60%,-19.8,40.60%,4/2/26,,
0045,8,12.20%,-19.6,39.20%,4/2/26,,
0046,8.5,12.60%,-19.6,40.40%,4/2/26,,
0058,8,12.30%,-19.7,40.10%,4/2/26,,
0059,7,12.40%,-19.7,39.30%,4/2/26,,
0070,7.3,12.90%,-18.1,41.50%,4/2/26,,
0071,6.9,12.90%,-17.3,40.80%,4/2/26,,
0072,7.8,13.30%,-17.3,42.30%,4/2/26,,
0074,7.1,12.80%,-17.8,39.70%,4/2/26,,
0075,7.7,13.40%,-17.5,41.70%,4/2/26,,
0076,7.8,13.30%,-17.3,42.40%,4/2/26,,
0077,9.3,13.30%,-19.1,42.40%,4/2/26,,
0078,9.7,12.30%,-19.8,43.00%,4/2/26,,
0079,8.9,13.70%,-19.6,42.00%,4/2/26,,
0080,8.6,12.20%,-21,44.90%,4/2/26,,
0081,9.3,13.10%,-20.1,41.90%,4/2/26,,
0082,6.1,13.60%,-16.4,41.40%,4/2/26,,
0083,6.4,12.80%,-17.6,40.90%,4/2/26,,
0084,6.4,12.50%,-17.9,39.00%,4/2/26,,
0085,5.8,12.90%,-18.2,40.70%,4/2/26,,
0086,9.2,13.60%,-19.4,42.30%,4/2/26,,
0087,6.6,13.20%,-18.4,41.80%,4/2/26,,
0088,7,14.20%,-18.7,42.20%,4/2/26,,
0089,8.7,13.90%,-19.2,41.30%,4/2/26,,
0090,8.7,14.60%,-19.2,42.00%,4/2/26,,
0091,6.3,14.20%,-18,41.90%,4/2/26,,
0092,6.5,14.50%,-18.7,42.10%,4/2/26,,
0093,6.2,14.20%,-17.6,40.80%,4/2/26,,
0094,6.7,14.10%,-16.6,41.80%,4/2/26,,
0095,6.8,14.50%,-15.9,43.20%,4/2/26,,
0098,9.5,13.80%,-20.3,45.60%,4/2/26,,
0099,9.1,13.10%,-20.2,43.30%,4/2/26,,
0100,9,13.20%,-20,41.20%,4/2/26,,
0104,6.6,13.40%,-17.5,40.30%,4/2/26,,
0105,7.1,13.60%,-16.5,41.20%,4/2/26,,
0108,10.5,13.20%,-19.7,41.60%,4/3/26,,
0109,9.9,12.70%,-20.9,41.60%,4/3/26,,
0110,10.4,12.60%,-20.9,41.00%,4/3/26,,
0111,9.1,12.50%,-20.7,40.70%,4/3/26,,
0112,10.5,12.90%,-20,42.90%,4/3/26,,
0113,9.9,13.30%,-20.9,43.30%,4/3/26,,
0114,9.8,13.00%,-20.8,41.70%,4/3/26,,
0115,9.8,12.30%,-20.8,40.60%,4/3/26,,
0116,9.9,12.50%,-21,41.10%,4/3/26,,
0117,10.1,12.20%,-20.8,39.90%,4/3/26,,
0118,9.6,12.50%,-21,40.40%,4/3/26,,
0119,9.9,12.20%,-20.8,39.40%,4/3/26,,
0120,9.9,12.90%,-20.7,41.10%,4/3/26,,
0121,10.6,12.30%,-19.9,40.30%,4/3/26,,
0122,10.2,12.90%,-20.5,41.80%,4/3/26,,
